product_sku;title;content;rating;date
200357;Nice Sound;nice sound, good choice for beginners.;5;4/17/2012 10:00
200358;Im so glad;"This drum is far greater than I couldve imagined. The tone is perfect; well rounded with a good amount of bass to resonate to ones core. Its tradition is what inspired me, as a Reiki Practitioner and its easy to carry capabilities make it a great choice for party time as well.. Thanks Remo and West Music!";5;6/16/2013 10:00
200358;Buffalo drum 16” White;I love the look and the sound of this drum. The price is the best. Thank you;5;3/17/2013 10:00
200359;I'm happy;great price, fast shipping, and a reliable chat that sealed the deal.;5;9/23/2012 10:00
200390;Perfect for Little Hands;I love this cabasa for my 5-8 year old students.  It sounds brighter and thinner than a full-sized cabasa, but it is very much easier for little hands to manipulate.;5;7/18/2011 10:00
200392;Good, but may come apart!;While I've had no problems with my smaller cabasas, this particular one has unscrewed on several occasions.  It's easy enough to put back together, though!  Great for sensory integration, but very heavy.;3;8/25/2011 10:00
200414;Beautiful tones;I am very happy with the chimes, pleasing sounds, good for music therapy groups, easy to hold.;5;3/11/2013 10:00
200454;Music to my ears!;Great little chime.  I use it for meditation and yoga classes.  Students really enjoy it and the price is right. Cheers!;5;2/26/2013 10:00
200454;Great Service;All went well with my purchase!;5;11/16/2012 10:00
200454;Excellent product;I bought this for my classroom as a way to grab students' attention.  The quality of the chime is amazing and sounds beautiful.;5;8/18/2012 10:00
200458;great sound!;Well worth the price.  These claves have a great sound and are very durable.  Isn't that what every music teacher wants?;5;6/28/2011 10:00
200460;Always a favorite!;"My students (0-5) love experimenting with this and they are so excited when they ""get it""!";5;4/16/2013 10:00
200460;kid-friendly kokiriko!;Love this kid-friendly kokiriko!  Very sturdy.;5;6/29/2011 10:00
200484;Awesome;"I got this cowbell for my birthday and I love it!  It's just like the one from the SNL skit ""More Cowbell"".  It sounds and feels great!";5;6/13/2011 10:00
200597;SO FUN!;I purchased this book to replace the no-longer-working cricket sound in my Very Quiet Cricket Book by Eric Carle.  The kids loved the sound it makes!  They all wanted to take turns playing it, and it doubled as a short insect anatomy lesson! :);5;5/21/2011 10:00
200597;Love the cricket!;Interesting looking & authentic sounding.  The little antennae that came with the cricket did not stay in, but they are not necessary for how the cricket works, so it doesn't matter.;5;9/28/2011 10:00
200597;Good Sound Effect;This is a great sound effect instrument!;5;10/29/2012 10:00
200597;West Music WM06 Cricket Rasp;While it makes a good cricket sound, it is a little quieter than I hoped.  It will work, but may get lost in some soundscapes if other things are being played. My students do like the design, though.;5;3/25/2012 10:00
200606;Black straps fall off;Bought quite a few of these for my classrooms.  They worked fine, until the black straps came off.  They did this at the start.  Trying to repair them with the flimsy plastic piece does not work.  Buy a higher quality set that you can actually use.;2;9/15/2011 10:00
200606;Fine Finger Cymbals;These are the right price. The straps do slip off, but they are easily sewn together with a few threads/knots on each side of the elastic end past the white plastic buckle. It just requires that someone do that before use with students, and it’s a fix that will last. My students love the *ching!* magical sound.;4;8/19/2021 4:33
200607;high quality!;These have a nice sound and are also higher quality than I expected!  Children love these and they provide nice opportunities to discuss dynamics.;5;7/12/2011 10:00
200607;Pure, beautiful sound!;Love these finger cymbals.  I will need to hot glue the backs because straps easily come through the hole.  Otherwise, they work great!;5;12/30/2011 10:00
200607;Great classroom instrument;These finger cymbals have a very good sound and are easy for students to handle.;5;1/6/2013 10:00
200671;Great drum!;This drum is a great size -- not too big, and not to small -- for a wide variety of applications, from performances to music classes to drum circles. The tonal range is great, providing bright, poppy high tones and very nice, rich low tones (when properly tuned). Details like covered lug nuts (no snags) and carrying handle make it even nicer. Also, the weight and size make it easy to play standing, using a strap, for a longer time without fatigue. I love this drum.;5;3/12/2012 10:00
200678;Remo Kids Pre-Tuned Djembe;My two year old granddaughter received this lovely djembe and to join me in regular djembe jams.  She loved it and wore it around the house, drumming for parades with anyone who would join in.  Later at about 4 years, she somehow managed to get her foot into it from the bottom, like a boot, caught in a photo that her dad posted on Facebook.  Luckily, no limbs or drums were damaged in the making of that photo! Sturdy, fun, definitely kid-friendly and a worthy start to a life with rhythm and music!;5;6/22/2011 10:00
200736;great for the price;"At this price, this drum is a great value!  It is a great alternative for those who don't want to pay for the larger ""fish"" ocean drums.  The plastic dents easily, but the children playing it surely won't care.  It has a great sound and provides loads of entertainment.  Great sensory input for those with intellectual and developmental disabilities.";4;6/30/2011 10:00
200746;Great size for younger children!;I have been using this drum in my music therapy practice with children for a few years, and it is a great size!  I like that the feet elevate the drum enough to provide a good sound, and the height is great for setting in front of a younger child.  The colorful children from around the world on the outside of the drum can be slightly distracting for the occasional child, but they can also be great conversation and song starters!;5;6/7/2011 10:00
200746;Great drum;Colorful, durable, and sounds great for a classroom instrument.;5;8/15/2011 10:00
200746;love this drum!;my baby/toddler music class teacher, miss carla, swears by remo drums.  we frequently use the small floor tom in class, and my 2-year old daughter loves it.  my husband and i bought this for her 2nd birthday, and she couldn't be happier!  (her daddy and her pop-pop get a lot of fun out of it too!)  this is an excellent way to introduce rhythm to a small child.;5;8/8/2011 10:00
200747;Spreading Joy;I bought this drum for my grandchildren to expose them to different kinds of musical instruments. It’s a Xmas gift but I know they will love it so I’m buying a second one today. Great quality and the sound is nice to the ear 💕;3;11/7/2020 15:22
200747;Great gift idea;I am a Music Therapist and a mother of two boys.  For years, I have been buying Remo drums as baby gifts for friends and family--as well as for my own home and private practice.  As soon as 'baby' is old enough to sit up, I have someone sit behind the baby and straddle the drum while playing with open hands and singing!  This drum has smooth edges, it's durable, colorful, and you can flip it over and use for storage for shakers, whistle, kazoos, maracas...Music Music Music!!!  My children and my students LOVE this drum! It has a rich sound and its a REAL drum--no batteries needed folks! Stock up--this is a great price!;5;11/8/2010 10:00
200747;Wonderful and sturdy!;One of two Remo drums that I got my granddaughter, at the time 3 years old.  She loved using it when friends came over and the matching djembe created an instant set for a rhythm duo.  The sticks are fun but when unmanageable by young ones, hands or multiple sets of hands make yet another option for this size drum.  We hoped to hand this drum to the next grandchild, but it may be hard for granddaughter to let go for some years..  So, another purchase is in order, and not expensive.  Worth every dollar!;5;6/23/2011 10:00
200747;Wonderful Drum;My grandson who just turned 2 years old, goes to a children's group music class.  Westmusic.com was the recommendation by the teacher as to the place to go for instruments. My daughter-in-law suggested this drum for a birthday gift.  My grandson just loves it.  It is so well built and so beautiful to look at.;5;5/15/2012 10:00
200747;Awesome, versatile.;"I am a board-certified music therapist in private practice, primarily working with children with intellectual disabilities and this drum can be used so many different ways!



The drum has an excellent, warm sound when struck with the hands or with the mallet. The mallets that come with the drum are more appropriate for kids 5+, so my little ones just use their hands...both scenarios of use still warrant great sound.



The animal print on the drum is great for animal and color identification. One of my clients particularly enjoys all of the frogs!



Definitely recommend this drum to music therapists, families, music educators, and those looking for a great gift for a child who responds to music!";5;5/3/2011 10:00
200747;Lasts!;I have been teaching preschool music for 15 years .  Some of my drums I bought 15 years ago and some just a few years ago.  I teach 5-7 classes per day and use the drums in almost every class.  Many parents like to buy these drums for their children as Christmas gifts.  My selling point is, I ask parents to pick out the drums that 15 years old from the ones that are 2 years old - they cannot!  These drums are great and last forever!;5;5/29/2011 10:00
200762;Very pleased;Purchased two gathering drums for use in toddler and early music classes at our private music studio.  Kids absolutely love them!  Pleased with quality and sound.  Very pleased with quick service through West Music - rapid shipping and excellent communication.;5;7/8/2012 10:00
200762;A fun instrument!;All of my students (age 3 - 6th Grade) LOVE to play this drum and often beg to play it during class.  It has such a nice, big sound and I love that it can sit on the floor.;5;5/8/2013 10:00
200762;Gathering Drum Fun;I purchased this with gift money for my music classroom.  I put 6 Kinders around it, and they each took turns playing something for each other, then question and answer with a partner while I helped other children in the class.  It has a lovely resonate tone.;5;7/29/2012 10:00
200762;Awesome sound, perfect size;This drum has an amazing sound and the babies in my music classes love gathering around it, placing their tiny hands on the huge surface, feeling the smoothness and experiencing how their hands can produce such large 'booms'. A great way to foster community amongst the littlest 'drummers'. Always a favorite in my studio!;5;8/24/2012 10:00
200762;Terrific Drum;Great with toddlers and babies, as well as preschoolers. Grownups like it too! The one-piece foot-cladding (what's it really called?) is a good improvement - my original one from 20 yrs ago is still an awesome drum, but missing a couple of feet.;5;5/12/2012 10:00
200762;New Drum Feet are Slippery;I've used various iterations of this gathering drum for a few years.  They keep changing the style of the feet. The old ones were pretty blocky and help secure the drums together if you had to stack them one on top of the other. The feet would knd of interlock with each other.  The new ones are rounded and slippery, so they slide a bit.  I haven't played on these yet, but I liked the new sound dampening inserts on the inside of the drum in the most recent version before these.  So, I'm hoping they will sound the same.  Just wish the feet were less slippery, since I always have to stack them.;5;5/7/2012 10:00
200762;Excellent, high quality, and perfect for group drumming!;Engaging graphics and the Remo name originally drew me to these drums for my early childhood music education classes. The quality and sound did not disappoint either.The children loved exploring these drums and were surprised by the graphics on the drum head when they turned it upside down!;5;6/16/2012 10:00
200762;Awesome, Quality Drums;I’m using 3 of these gathering drums in my Music Together in the Hills class which is for children ages 0-5. The drums are so durable and have fun art that make them really enjoyable to beat on !;5;6/10/2013 10:00
200762;Good timbre;Deep, full sound with ongoing vibration. It’s just a bit too small for more than 2 children to play on.  I’d wanted to fit 3 around the drum but it’s too small. My 11 year old client loves it but just for herself as she is getting too big to share a drum this small. Otherwise excellent sound.;5;3/2/2013 10:00
200763;Great gathering drum;"I ordered this BIG gathering drum for the elementary school, K-5th graders where I taught general music.  The kindergarten classes LOVED it!  Not only could they feel the beat, we watched each other as we played, ""Can you catch the beat"", sort of like a wave at the ballpark.  We also used it to see how many of each grade could sit around it, and then graphed it (reinforcing math skills):  21 kindergarteners was the winning classroom.  Super for assemblies, too, or adding extra students to an already full drumline!";5;5/2/2011 10:00
200769;Exactly what I have been looking for quite a while.;Have been looking for something this good, at this price, for quite a while.  The tone is fine, shipment was quick, and it turns out (surprisingly) that I even like the bright colored bars . . . so I keep the lid open as it lives on the table in my recording studio (seem to bring some fun into the room).;5;4/22/2013 10:00
200769;Best for this type of Instrument;"After trying several brands and types of glockenspiels/ bells, this is the one I have chosen for my general music classes.  These are the reasons why this one stood out to me: 1)It has enough notes for students to learn to play every note on the treble clef; 2)the bars are wide enough (the Sonor BWG are too small); 3) the rainbow colored notes are a logical pattern and students find it easier to learn with colored bars vs. the plain wood bars on our Orff xylophones; 4) the lid of case is perfect for propping up our music note books; and 5) the individual bars are removable and there are F# and Bb replacement bars for playing in other keys.  I use these instruments with the ""Mr. Everybody's Musical Apartment"" Curriculum to teach students to read with the letter names the notes on the treble clef.  Bells require a lot less hand coordination compared to recorders and ukuleles.  So when you have a short amount of time, you can get much more accomplished in the music reading unit because the instruments are easier to play. I put as the title ""Best for this type of Instrument"" because they are slightly out of tune and a little too loud.  Since I have a classroom playing them, I would like them to be softer. If you want a truly in tune instrument you will have to spend twice as much and they won't come in rainbow colors.";5;10/1/2011 10:00
200782;Small, portable, great sound!;These instruments are FANTASTIC! I teach in a small space on an even smaller budget and needed to supplement my Orff instruments with something high quality at an affordable price...these glocks are PERFECT!!! They have a great sound and even my middle school students don't mind playing them. :) <br />Outstanding product. Highly recommended!;5;11/3/2012 10:00
200789;Rich, beautiful sound;I am 57 years old and wanted to learn how to play the glockenspiel.  I decided on this instrument after hearing how it sounded on YouTube.  Shipping was prompt and the instrument was well-packed with no damage.  Honestly, this instrument sounds even better live and it is really easy to use with the mallets provided.  The instrument is very sturdy, well-made.  The bars are marked with the alphabet letters and are easy to read.  The bars are well-fixed to the unit and are easy to switch out as needed.  I really enjoy playing this instrument and I think you will too!  I would not hesitate to recommend this instrument to anyone at any age.;5;5/15/2013 10:00
200890;Love It!;This Gourd Guiro is a beautiful addition to my small percussion classroom collection!;5;3/3/2012 10:00
200895;Kids love these!;I am a k-6 music teacher in a public school. Of all my unhitched percussion, this is my favorite. A unique sound, quality/durable construction by LP, and a classroom favorite.;5;10/25/2011 10:00
200918;Remo Drums;This drums are exactly what I hoped they would be for the music classroom.  The students have enjoyed them.  I like the weight of them and also I like the width.  They are easy for the students to hold in there hand.;5;4/23/2018 10:00
200921;3rd Grade;"These are the perfect size for my third graders to use in class. The students are able to hold both the drum and the mallet at the same time comfortably. The sound is nice with the mallet, but very ""dead"" sounding without it.";5;2/2/2013 10:00
200921;Great starter set!;My new classroom only had three small drums, and I like to do a lot more with drums than those three allowed. I was looking for good quality (Remo is awesome) and also a set that could be very portable for programs and center work. These fit the bill--they are very affordable, but great quality! Thanks Remo and West Music!;5;12/1/2012 10:00
200923;So much fun for us and baby!;We purchased this drum for our newborn daughter. When she was around 4 months old, she was able to use the mallet to hit the drum which was super exciting for us and so much fun for her. It is a very nice and high quality drum that is also pretty inexpensive. Highly recommend!!;5;8/31/2012 10:00
200924;Super deal!;Nicely made.  Very attractive set.  They neatly nest for storage. Remo has a reputation for durability -- I'm confident these meet those standards.;5;1/24/2012 10:00
200924;Excellent quality!;These drums have a beautiful tone quality and are just what I was hoping for!;5;1/10/2013 10:00
200926;AMAZING DRUMS!!!!;These are the best drums I have ever used for elementary music! The students would rather play these than any other I have!;5;1/15/2013 10:00
200929;Love it;Love the price. Love the sound!;5;1/1/2012 10:00
200951;Awesome!;I love these because they are light, easy to hold, and dont take up much storage room.  Working with older adults is also nice as they make a liltte more sound then a shaker (they can hear themselves better) but it is not overpowering!;5;5/11/2011 10:00
200985;Lollidrum...;This drum is added to the four I currently have and use frequently!!!  Great for classroom use!;5;11/16/2011 10:00
201012;Love it!;We purchased many baby instruments for our daughter and this instrument is her absolute favorite. Its very light and easy for her to shake around and she loves looking at the colorful beds inside. This toy is also dishwasher safe so cleaning it is very easy.;5;8/30/2012 10:00
201013;Great durability and sound.;These were bought as an addition to my classroom's music focus on mariachi. They're terrific!;4;11/8/2011 10:00
201014;Music Therapist;These maracas are okay but I would not purchase them again or recommend them. The paint comes off when I have to sanitize them which is frequently due to facility protocol. Additionally, the sound seems to be almost muted or muffled, not the crisp sound I had hoped for. However, they seem to be quite durable as mine have been hit against tables and thrown  If you do not have to sanitize/clean and are looking for durable wooden maracas these may be okay for your use.;3;8/19/2011 10:00
201053;Love it;I am the music teacher at my school I ordered this Ocean Drum, it is great.  Not only was the company super fast with getting it here but the drum is well made and holding up to even my Kindergartners really well.;5;4/20/2012 10:00
201053;Looks great, pleased with weight of beads and sound!;I am a music therapist and I like to use this drum for sensory purposes, mainly. It has been a success so far!;5;10/9/2012 10:00
201076;Fun Times;This set is a great collection. I started my therapy practice with this set. It has a little bit of everything to get started. The fish guiro is always a delight to the kids. So are the shakers.;4;5/23/2011 10:00
201086;Remo WMD Package A is GREAT!!;After taking Will Scmid's World Music Drumming course I had to get the Remo World Music Drumming (Package A) it'is a great set of drums perfect for my middle school general music classes!  With 16 drums and a leader's drum, there are enough drums for everyone to play at the same time without waiting to share an instrument.  The additional percussion instruments are also great to add different timbres to the sound of the drums.  I have also used these in my church and am looking to purchase another set to use there.  These are lots of fun to play and immediately gets everyone involved in music making!;5;5/20/2011 10:00
201089;Spectacular Instruments;"We love our World Music Drumming set.  They arrived in a timely manner and the students love playing in ""a band"".";5;5/23/2013 10:00
201097;Music Teacher;This set was a wonderful addition to my classroom! The price was great, especially for the quality of sound and variety of drums that are included in the set. Also, each drum has rubber non-slip feet that allow students to keep the drum on the floor while playing. I am looking forward to purchasing another set in the future!;5;6/3/2011 10:00
201097;Perfectly sized for smaller hands, great sound, lots of fun;Ordered this set of drums to use with my children in homeschooling, as well as for leisurely play. They are a big hit with the whole family. Each drum has a great sound, and is perfectly sized not to be too overwhelming for smaller hands. Love that I could get quality drums sized for my kids, but still playable and enjoyable for adults. Highly recommended.;5;5/30/2011 10:00
201097;Great Deal;I ordered this set to use with my primary grade music classes.  They are just the right size for my students and have an enjoyable tone.  The price for this set was a great value - especially with free shipping - so I was able to order more instruments for my classroom.;5;6/1/2011 10:00
201111;Great NOISE;This is quite possibly the most pure sounding ratchet on the market.  It is also very capable of any of your ratchet needs.  I bought this for a ratchet festival (held in my backyard) and everyone was simply amazed with the quality.  Do yourself a favor and pick one of these bad boys up and you won't be disappointed.;5;3/4/2019 9:08
201111;Ratchet;This ratchet is very loud, maybe too loud.  Used with a bunch of schoolkids they broke the wood out fairly quickly so that it no longer worked. However, used by an adult, I imagine it would last awhile and does make an interesting sound.;4;9/21/2010 10:00
201111;Great ratchet;Love it. Nice and loud and crisp. I ordered small percussion for choral song that calls for loud noise makers in several places.;4;12/5/2011 10:00
201111;LOUD;Like the previous reviewer, my ratchet also broke.  It was much louder than I expected it would be.  Too loud to use just for fun with my classes of children.  If someone had a deliberate use for it and treated it well it may fare better than mine did!;4;7/1/2011 10:00
201111;Love It!;This Ratchet is a sturdy addition to my small percussion classroom collection.;4;3/6/2012 10:00
201115;colorful and engaging!;The bright colors are just as engaging as the beautiful sound! This rainstick projects well and is very sturdy.  A great buy!  My students love it!;5;7/2/2011 10:00
201128;Well made;Love the sound of this size, and the product is well made out of sturdy wood.;5;5/19/2013 10:00
201129;Frog;Works and sounds great!;5;4/28/2012 10:00
201132;Hand-crafted Tiny Frog Rasp is Beautiful and Fun!;"I am very pleased with the quality and usability of the Itty Bitty Frog Rasp! So far, in my music therapy sessions and in casual jams and instrument explorations, children and adults alike have gravitated towards this adorable instrument. I recommend using it with the book ""The First Music"" by Dylan Pritchett, which tells the musical story of the frogs finding their voice. I was preparing an intervention for children using this book by practicing with adult friends and they loved it and encouraged me to try it with adult groups as well. Even though this frog rasp is ""itty bitty"", it has a mighty and pleasing sound! Great for educators, music therapists, and all of us with musical instrument collections!";5;7/25/2012 10:00
201137;Goat Hoof Rattles;Great sounding ankle bells! Rich timbre and reliable attachment.;5;8/23/2011 10:00
201142;Well-made beautiful rattle;Great-sound wood rattle. I ordered small percussion for choral song that calls for loud noise makers in several places.;5;12/6/2011 10:00
201175;great sound, needs a case;"I have always been impressed with the Sonor ""sound"", so full and just sweet. I am trying to find a good way to re-use the shipping box as a case for this bell set. Sad that it doesn't come with one. Probably will try using duct tape to strengthen it, and maybe some felt for the inside. A little funky, but I have seen these bells get roughed up when they're stored in an open plastic bin.";4;4/27/2013 10:00
201210;Another fun set!;I liked the array of instruments in this set also. The kids seem to enjoy this set. My only complaint is that the sandpaper on the sand blocks fell off quickly and refused to stay on. But still a good set.;4;5/24/2011 10:00
201211;Great for Homeschool groups;We ordered this package for our homeschool co-op and it has worked out wonderfully!  The products are well-made and look like they will hold up well!;5;10/6/2012 10:00
201253;Perfect for toddlers and pre-k;Our library bought this set for a musical storytime program. They've met our expectations by being durable, kid-friendly, loud enough, and the ability to clean/disinfect. They are small and are perfect for small hands (toddlers and pre-k). I probably wouldn't recommend for elementary aged children.;5;8/16/2012 10:00
201357;It's perfect;This is perfect for my older elementary students.  They are developing better team building as we work on dynamics, coordination, and different rhythms.;5;12/26/2011 10:00
201357;General;Actually, I don´t know how and when to use it. I bought it because is cheap and curious.;5;6/26/2012 10:00
201357;Super!;"Between two teaching positions, I have access to 55 pairs of these sticks.  Only one has chipped, and it's just a small piece that's fallen off.  My only complaint would be that the black ""Basic Beat"" logo is getting smeary after the sticks have been used quite a bit. That said, it's purely a cosmetic issue.";5;5/17/2011 10:00
201358;Very good;"I bought 30 pairs for my toddler music class.  I love that they are natural wood instead of painted; I felt like paint would easily chip and get into my students' mouths.  All except for 3 of the sticks were perfect!  I will be sanding down some splinters from the 3 slightly imperfect sticks.";5;7/15/2012 10:00
201358;Perfect for little hands - and big ones!;I've used these in my Music Together classes for 8 years now. I love the size, the stoutness, the lack of paint. None have broken, only a couple have had any splintering (easily sanded out) - and they get chewed and used hard and frequently.;5;5/13/2012 10:00
201358;Really great rhythm sticks;"These rhythm sticks are great, especially for preschoolers. They seem to whack each other more with the longer ones, but these 8"" ones are perfect. Also, they are durable and the finish is lovely. I get tired of techni-colored stuff for children. Highly recommended.";5;11/23/2011 10:00
201358;Perfect for beginners;My younger elementary students love this.  Perfect for beginners as they figure out coordination and team building.;5;12/25/2011 10:00
201358;great quality and size;Bought several to use with our 0-5 age playgroup.  They are very sturdy.  The finish is of great quality.  They will last indefinitely.;5;1/21/2012 10:00
201426;Tambourines to GLORY!!!!!;I just want to say that these tambourines are GREAT!  I have been using them with my kinder class.  They have a good sound, and are sturdy instruments.  I have purchased 30 of them and can you imagine 30 of these darlings in the hands of 30 Kindergartener's?  It is.... TAMBOURINES to GLORY.  Great for rhythm work, exploring sound and rhythmic patterns, echo patterns.  I bought some cheaper ones that are transparent, and unfortunately the heads pop off and the tambourine can fall apart if hit too hard.  I wish I had found these first, but oh well.....I am glad that I purchased these!;5;7/28/2012 10:00
201431;Awsome purchasing experience!!!!;This is the first time purchasing from West Music and I will definitely return to buy again!! The process was real easy and with automatic shipping calculations. The items I ordered were exactly what I was looking for and the shipping was extremely fast!! Very satisfied customer!!!;5;11/17/2011 10:00
